0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135
"Petroleum refined, for energy use, at plant","Petroleum refined, to energy use, at refinery",FALSE,b022d34e-2838-4494-8a84-9b6aa57e575a,FALSE,,31-33: Manufacturing,3241: Petroleum and Coal Products Manufacturing,,,,,,,-0.016,,,,,,,,,,,,,,,,,,,,,,,-0.019,,-0.019,-0.027,-0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,-0.07518,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Petroleum refined, for material use, at plant","Petroleum refined, to material use, at refinery",FALSE,3671e08b-0f5d-423e-9805-3cbd3f7b909a,FALSE,,31-33: Manufacturing,3241: Petroleum and Coal Products Manufacturing,,,,,,,-0.667,,,,,,,,,,,,,,,,,,,,,,,-0.1,,-0.1,-0.14,-0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.016,,,,1,,,,,,,,,,,,,,-0.41861,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,
"Petroleum refining, at refinery","Diesel, at refinery",FALSE,d939590b-a0d7-310c-8952-9921ed64a078,FALSE,RNA,31-33: Manufacturing,3241: Petroleum and Coal Products Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Petroleum refining, at refinery","Gasoline, at refinery",FALSE,0e44e579-abb0-3c77-af64-c774d65be529,FALSE,RNA,31-33: Manufacturing,3241: Petroleum and Coal Products Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Petroleum refining, at refinery","Liquefied petroleum gas, at refinery",FALSE,813325ee-9eb4-3825-9280-bee7b1a2e9a8,FALSE,RNA,31-33: Manufacturing,3241: Petroleum and Coal Products Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.91E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Petroleum refining, at refinery","Petroleum refining coproduct, at refinery",FALSE,5f96ad43-abab-3b62-bcf8-c71f9d6c7881,FALSE,RNA,31-33: Manufacturing,3241: Petroleum and Coal Products Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,,,,0.051454,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Petroleum refining, at refinery","Residual fuel oil, at refinery",FALSE,f7c00d19-9601-373a-ba23-593e251b4dee,FALSE,RNA,31-33: Manufacturing,3241: Petroleum and Coal Products Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.10E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.18E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Phosphorous fertilizer, production mix, at plant","Phosphorous fertilizer, production mix, at plant",FALSE,91feb044-e771-35a3-a81f-ac076c5f9b83,FALSE,RNA,31-33: Manufacturing,"3253: Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",,,,,,,,,,,,,,,,,,,,,,,,-0.00584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP production,PP (polymer),FALSE,55b752aa-45fc-4402-9e34-438ed6204505,FALSE,,Z: Plastic Packaging,A1: Polymer Production,,,,,290.8748746,29.08748746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2908748746,-0.2908748746,-0.2908748746,-0.2908748746,,,,,,,,0.88652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-0.2908748746,,,,,,,,,,,,,,,,,,,,,,,,
PS production,PS (polymer),FALSE,3dee674c-2eac-41bb-aedd-4cbcdae254f2,FALSE,,Z: Plastic Packaging,A1: Polymer Production,,,,,49.90293683,4.990293683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04990293683,-0.04990293683,-0.04990293683,-0.04990293683,,,,,,,,,0.88652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,-0.04990293683,,,,,,,,,,,,,,,,,,,,,,,,
PVC production,PVC (polymer),FALSE,da1b15f3-8ef7-46d5-8797-b02aeda4da12,FALSE,,Z: Plastic Packaging,A1: Polymer Production,,,,,20.91459035,2.091459035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02091459035,-0.02091459035,-0.02091459035,-0.02091459035,,,,,,,,,,1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,-0.02091459035,,,,,,,,,,,,,,,,,,,,,,,,
"Pyrolysis gasoline, at plant","Pyrolysis gasoline, at plant",FALSE,f3d6e4c6-0323-3d9f-a843-b741d2a9b982,FALSE,RNA,31-33: Manufacturing,3251: Basic Chemical Manufacturing,,,,,,,-0.335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quicklime, at plant","Quicklime, at plant",FALSE,c34c4451-297f-3b5c-a15f-2c16cdb52ad9,FALSE,RNA,31-33: Manufacturing,3274: Lime and Gypsum Product Manufacturing,,,,,-121.03,,,,,,,,,,,,,,,,,,,-0.0305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
small format plastic packaging production,small-format plastic packaging,FALSE,b7f76ddb-f308-4771-82c5-df204a4c5ca6,FALSE,,Z: Plastic Packaging,A2: Plastic Packaging Production,,,-0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
"Soda powder, at plant","Soda powder, at plant",FALSE,0f797f27-2207-3571-84cc-0835a943be09,FALSE,RNA,"21: Mining, Quarrying, and Oil and Gas Extraction",2123: Nonmetallic Mineral Mining and Quarrying,,,,,,,,,,-0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
"Sodium chloride, at plant","Sodium chloride, at plant",FALSE,c28f9211-98eb-3509-95cc-771d8fefae51,FALSE,RNA,"21: Mining, Quarrying, and Oil and Gas Extraction",2123: Nonmetallic Mineral Mining and Quarrying,,,,,,,,,,,,,,,,,,,,,,-0.88982,,,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
"Sodium hydroxide; chlor-alkali average, membrane cell; at plant; 50% solution state","Sodium hydroxide; chlor-alkali average, membrane cell; at plant; 50% solution state",FALSE,d12c4a32-12a8-4673-9b14-5d227d2a128e,FALSE,RNA,31-33: Manufacturing,3251: Basic Chemical Manufacturing,,,,,,,,,,,,,,,,,-0.0068,,,,,,,,,,,,,,,,,,,,-0.0068,,,,,,-0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
"Steam, purchased by containerboard mills","Steam, purchased by containerboard mills",FALSE,caca451d-e5df-4bf4-91f8-2c4be75af6dc,FALSE,RNA,22: Utilities,"2213: Water, Sewage and Other Systems",,,,,,,,-0.1,,,,,,,-1.7088,,,,,,,,,,,,,,,,,,,,,,,,,-230.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
"Sulfur, at plant","Sulfur, at plant",FALSE,48187a93-fc4e-3c80-98c2-5b0eaafc07d4,FALSE,RNA,"21: Mining, Quarrying, and Oil and Gas Extraction",2111: Oil and Gas Extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.33,,,,,,,,,,,,,,,,,,
"Sulfuric acid, at plant","Sulfuric acid, at plant",FALSE,f867896e-830f-31f9-975d-465b212262ef,FALSE,RNA,31-33: Manufacturing,3251: Basic Chemical Manufacturing,,,,,,,,,,-0.024,,,,,,,,,,,,,-0.0092,,,-455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Water,"Water, at plant",FALSE,8403a6f4-f5cd-3742-b3c5-c12906b900ff,FALSE,,Z: Plastic Packaging,Other,,,,,,,,,-24,-4.224,,,,,-1.425,-50.9435,-1.4,,,,,,,,,-3465.9,,,,,-0.31,-3.5,-3.3,-3.3,-1.3,-0.0083,-1.4,,,-1,,,,,,,,,,,,,,,,,,,-2.364,-2.41546,-1,-2.36407,-2.36407,-2.55,,,,,,,,,,,,,,,,,,,-2344,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
"White mineral oil, at plant","White mineral oil, at plant",FALSE,5b187fd4-1b60-3d48-83b7-bf743efcbd86,FALSE,RNA,31-33: Manufacturing,3241: Petroleum and Coal Products Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0138,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
"Xylenes, mixed, produced from naphtha, at plant, kg","Xylenes, mixed, at plant, kg",FALSE,77abdac3-53ca-4ee2-be95-3b3686c3e556,FALSE,RNA,31-33: Manufacturing,3251: Basic Chemical Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Electricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Heat, oil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Heat, coal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Heat, natural gas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Heat, traditional biomass",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
